hospital_id,hospital_name,blood_type,demand_units,available_units,urgency_level,distance_km,processing_time_hours,expiry_days
40,Southern Health,B-,9,6,Medium,15,3,19
41,City General Hospital,O+,35,40,High,5,2,22
42,Memorial Medical Center,O+,28,25,High,12,3,19
43,Regional Hospital,O+,30,28,High,8,2,18
44,Unity Health Center,O+,25,30,Low,25,4,20
45,Metropolitan Hospital,O+,40,38,High,3,1,23
46,Central Medical,O+,22,25,Medium,18,3,21
47,Northside Hospital,O+,32,28,High,7,2,19
48,West End Medical,O+,20,25,Low,30,5,17
49,Eastwood Clinic,O+,38,35,High,4,1,24
50,Southern Health,O+,26,24,Medium,15,3,20
51,City General Hospital,O-,15,12,High,5,2,21
52,Memorial Medical Center,O-,10,15,Low,12,3,19
53,Regional Hospital,O-,18,15,High,8,2,18
54,Unity Health Center,O-,12,16,Low,25,4,22
55,Metropolitan Hospital,O-,20,18,High,3,1,23
56,Central Medical,O-,14,12,Medium,18,3,20
57,Northside Hospital,O-,16,20,Low,7,2,19
58,West End Medical,O-,11,14,Medium,30,5,17
59,Eastwood Clinic,O-,22,19,High,4,1,21
60,Southern Health,O-,15,13,Medium,15,3,20
61,City General Hospital,AB+,8,12,Medium,5,2,20
62,Memorial Medical Center,AB+,6,10,Low,12,3,19
63,Regional Hospital,AB+,10,8,High,8,2,18
64,Unity Health Center,AB+,7,9,Low,25,4,21
65,Metropolitan Hospital,AB+,12,15,High,3,1,22
66,Central Medical,AB+,5,8,Medium,18,3,19
67,Northside Hospital,AB+,9,11,Low,7,2,20
68,West End Medical,AB+,4,7,Medium,30,5,17
69,Eastwood Clinic,AB+,14,12,High,4,1,21
70,Southern Health,AB+,8,6,Medium,15,3,20
71,City General Hospital,AB-,5,3,High,5,2,19
72,Memorial Medical Center,AB-,3,6,Low,12,3,18
73,Regional Hospital,AB-,6,4,High,8,2,17
74,Unity Health Center,AB-,4,7,Low,25,4,20
75,Metropolitan Hospital,AB-,8,6,High,3,1,21
76,Central Medical,AB-,3,5,Medium,18,3,19
77,Northside Hospital,AB-,5,8,Low,7,2,18
78,West End Medical,AB-,2,4,Medium,30,5,16
79,Eastwood Clinic,AB-,7,5,High,4,1,20
80,Southern Health,AB-,4,3,Medium,15,3,19
81,Children's Hospital,A+,15,20,High,6,2,22
82,Children's Hospital,A-,8,10,High,6,2,21
83,Children's Hospital,B+,12,15,High,6,2,23
84,Children's Hospital,B-,6,8,High,6,2,20
85,Children's Hospital,O+,25,30,High,6,2,24
86,Children's Hospital,O-,12,15,High,6,2,22
87,Trauma Center,A+,30,25,High,2,1,18
88,Trauma Center,A-,12,10,High,2,1,17
89,Trauma Center,B+,25,22,High,2,1,19
90,Trauma Center,B-,10,8,High,2,1,16
91,Trauma Center,O+,40,35,High,2,1,20
92,Trauma Center,O-,18,15,High,2,1,18
93,Trauma Center,AB+,15,12,High,2,1,19
94,Trauma Center,AB-,8,6,High,2,1,17
95,Emergency Unit,A+,20,18,High,1,1,15
96,Emergency Unit,A-,9,7,High,1,1,14
97,Emergency Unit,B+,18,15,High,1,1,16
98,Emergency Unit,B-,7,5,High,1,1,13
99,Emergency Unit,O+,35,30,High,1,1,18
100,Emergency Unit,O-,15,12,High,1,1,16
101,Emergency Unit,AB+,12,10,High,1,1,17
102,Emergency Unit,AB-,6,4,High,1,1,15
103,Rural Clinic,A+,10,15,Low,45,6,25
104,Rural Clinic,A-,5,8,Low,45,6,24
105,Rural Clinic,B+,8,12,Low,45,6,26
106,Rural Clinic,B-,4,6,Low,45,6,23
107,Rural Clinic,O+,15,20,Low,45,6,27
108,Rural Clinic,O-,7,10,Low,45,6,25
109,Rural Clinic,AB+,6,9,Low,45,6,24
110,Rural Clinic,AB-,3,5,Low,45,6,22
111,Maternity Hospital,A+,18,22,High,10,3,21
112,Maternity Hospital,A-,9,12,High,10,3,20
113,Maternity Hospital,B+,15,18,High,10,3,22
114,Maternity Hospital,B-,8,10,High,10,3,19
115,Maternity Hospital,O+,28,32,High,10,3,23
116,Maternity Hospital,O-,12,15,High,10,3,21
117,Maternity Hospital,AB+,10,13,High,10,3,20
118,Maternity Hospital,AB-,5,7,High,10,3,18
119,Oncology Center,A+,12,15,Medium,20,4,19
120,Oncology Center,O+,20,25,Medium,20,4,21
